notice_id_a,notice_id_b,label,word3_jaccard,word5_jaccard,     char5_jaccard
N003403,N007889,different,0.134600158,0.082014388,0.311762134
N002476,N005891,different,0.145173176,0.090789474,0.311375993
N004988,N009224,different,0.181329752,0.114792899,0.364676231
N001677,N011151,different,0.172647258,0.100356295,0.353768059
N006731,N006732,same,0.907775769,0.88590604,0.936386768
N002200,N009548,different,0.158429248,0.097429767,0.331340905
N001873,N001874,same,0.903030303,0.8815427,0.930586488
N006820,N010293,different,0.260915868,0.164835165,0.456371814
N004096,N007060,different,0.322975518,0.208268331,0.551667126
N003135,N003543,different,0.294234592,0.182044888,0.514912281
N006564,N007387,different,0.271676301,0.19121447,0.472128946
N004906,N008027,different,0.295869356,0.184,0.496526813
N000145,N007083,different,0.149929279,0.09125,0.319049553
N008087,N008088,same,0.324647123,0.31010101,0.430734076
N007153,N007701,different,0.380102041,0.316341829,0.510341622
N010825,N010826,same,0.618544601,0.600214362,0.694868662
N006905,N006906,same,0.983532934,0.979195562,0.98838897
N001863,N002786,different,0.164634146,0.098992294,0.344710579
N001735,N005403,different,0.364717542,0.286347518,0.540628386
N009982,N009985,same,0.208204334,0.188251946,0.329477292
N008801,N011616,different,0.240081384,0.152910513,0.418577982
N003201,N011795,different,0.392964072,0.304996755,0.553832715
N009040,N010335,different,0.137142857,0.088300221,0.306919388
N000276,N000278,same,0.266393443,0.237392374,0.349794239
N001338,N001340,same,0.981452859,0.969957082,0.989772727
N011118,N011119,same,0.872170439,0.837869822,0.925900515
N000768,N000770,same,0.656033287,0.635903919,0.688635554
N001515,N006807,different,0.24857685,0.146049481,0.469849246
N009100,N009150,different,0.220419847,0.135004042,0.406215921
N000437,N010413,different,0.144662921,0.090455396,0.315134484
N008497,N008498,same,0.566703418,0.53992016,0.642773552
N007145,N007146,same,0.500619579,0.477011494,0.597730139
N007053,N010560,different,0.331911263,0.248327138,0.495103893
N008280,N010910,different,0.243756244,0.144425676,0.429796969
N001364,N001365,same,0.873925501,0.819010417,0.945600584
N001075,N009237,different,0.410989011,0.321850394,0.581096849
N003268,N007976,different,0.44875549,0.333540373,0.64553127
N004168,N004169,same,0.667910448,0.651299246,0.722165992
N003317,N011369,different,0.222637979,0.135458167,0.393326327
N002748,N011595,different,0.368471954,0.276740238,0.526343381
N000873,N002331,different,0.141135972,0.09169279,0.299063232
N009379,N009380,same,0.98447205,0.98005698,0.988496933
N007382,N009541,different,0.166129032,0.097251586,0.338839183
N006828,N011568,different,0.173141892,0.107142857,0.337644016
N005210,N009890,different,0.208333333,0.127376426,0.384683099
N009046,N010077,different,0.338189386,0.274907749,0.46996663
N000659,N006306,different,0.143173432,0.091029024,0.318238731
N005472,N007849,different,0.154676259,0.097124601,0.330671581
N007681,N009555,different,0.390340459,0.310416667,0.54512958
N007201,N010116,different,0.236175115,0.151093439,0.429115128
N002665,N004599,different,0.160762943,0.097502973,0.343086172
N007557,N008376,different,0.405448718,0.281186784,0.606602476
N000189,N001381,different,0.239087302,0.144295302,0.440214326
N004220,N007941,different,0.36535009,0.271450858,0.543390515
N002036,N008928,different,0.104089219,0.068273092,0.253019575
N003662,N010020,different,0.276470588,0.194736842,0.484929672
N004066,N006280,different,0.218262806,0.144800777,0.410797394
N005647,N010086,different,0.232484076,0.148760331,0.399364713
N002586,N006131,different,0.237907206,0.15834039,0.411288069
N004043,N004969,different,0.114242193,0.074829932,0.264407511
N010853,N010857,same,0.753571429,0.74015748,0.788524105
N000202,N007774,different,0.283224401,0.171402383,0.486461819
N002852,N002853,same,0.588300221,0.56199187,0.668376068
N008049,N010976,different,0.23,0.144220573,0.421519886
N010028,N010039,different,0.368421053,0.293282876,0.521422571
N004028,N010035,different,0.275449102,0.197860963,0.475476839
N001702,N010946,different,0.187695516,0.111829945,0.351743375
N008791,N008803,different,0.408854167,0.333590139,0.561792339
N000684,N004640,different,0.259398496,0.161111111,0.461202186
N011929,N011930,same,0.398245614,0.383739837,0.513748531
N003860,N004075,different,0.351084813,0.274093722,0.520169851
N003884,N007431,different,0.143497758,0.091755319,0.324849008
N002204,N007953,different,0.20021645,0.123701605,0.381791045
N005664,N005666,same,0.837251356,0.773927393,0.928757602
N003982,N006359,different,0.366750209,0.306499261,0.504305329
N002817,N002819,same,0.264705882,0.241935484,0.386024601
N002626,N002629,same,0.548619448,0.51419214,0.630901288
N000262,N002156,different,0.412189254,0.290736984,0.616037736
N000131,N003422,different,0.418107833,0.356417359,0.544530623
N000852,N010531,different,0.127184466,0.090505768,0.275744903
N003659,N005484,different,0.160594796,0.102257636,0.327066866
N001115,N009773,different,0.465483235,0.374456994,0.629058442
N010941,N010942,same,0.907894737,0.890736342,0.932094595
N008101,N008840,different,0.213636364,0.126482213,0.398336414
N005983,N009546,different,0.42519685,0.341860465,0.577650156
N001180,N006053,different,0.353471596,0.268656716,0.526209167
N004248,N005277,different,0.197088466,0.117302053,0.381554596
N006025,N010086,different,0.237649063,0.14295977,0.442034405
N002970,N007570,different,0.409805735,0.345228216,0.555527319
N002439,N007343,different,0.357285429,0.27699115,0.510344828
N001488,N005914,different,0.248962656,0.149689991,0.444837758
N001624,N006762,different,0.149456522,0.104495747,0.296283059
N004870,N006313,different,0.283877349,0.179615706,0.486326473
N011017,N011020,same,0.557800224,0.527347781,0.64044289
N002389,N002391,same,0.585526316,0.551896208,0.666957533
N000672,N002056,different,0.14549483,0.094289509,0.314708995
N003476,N004605,different,0.266802444,0.159931212,0.47517321
N008022,N010492,different,0.413732394,0.325670498,0.5865
N009775,N009854,different,0.098522167,0.064759036,0.266238237
N001443,N010092,different,0.338655462,0.254038179,0.51918522
N008152,N008153,same,0.914606742,0.887733888,0.951564077
N004151,N009894,different,0.151536313,0.092260062,0.336025848
N009151,N011771,different,0.424031778,0.362331839,0.558438085
N004672,N008166,different,0.489010989,0.3858393,0.648105772
N005081,N007027,different,0.206185567,0.141774071,0.359780796
N002173,N008545,different,0.263013699,0.150496562,0.473698193
N003781,N003783,same,0.895209581,0.877216917,0.929499072
N002084,N007552,different,0.235884567,0.146929825,0.436345314
N004001,N004002,same,0.465875371,0.435759209,0.54678134
N009163,N009439,different,0.220948012,0.135240572,0.4177698
N002426,N003338,different,0.147575545,0.095950156,0.314733039
N006423,N006425,same,0.945406125,0.924550898,0.971252567
N007876,N009829,different,0.456910569,0.3517097,0.622227304
N007687,N009311,different,0.409249564,0.300227445,0.602460025
N001746,N002955,different,0.10395189,0.072270228,0.26129712
N008284,N008285,same,0.606476938,0.581705151,0.683631714
N001309,N011869,different,0.125925926,0.087585034,0.276095119
N002589,N004081,different,0.142508143,0.094074074,0.318274226
N005300,N006349,different,0.422535211,0.359276018,0.561822126
N009455,N009456,same,0.551219512,0.519955654,0.640789055
N004081,N010560,different,0.158267717,0.106534091,0.326404246
N004306,N004307,same,0.982978723,0.975951904,0.989361702
N000884,N011090,different,0.344685243,0.273654917,0.499586207
N000010,N003634,different,0.147506925,0.09135201,0.320808081
N002225,N011649,different,0.244877049,0.149737303,0.446017699
N001484,N003224,different,0.122168285,0.081979321,0.267697133
N008411,N008412,same,0.359922179,0.332733813,0.445202365
N006804,N010502,different,0.199025183,0.116991643,0.379655493
N009437,N010826,different,0.358303249,0.267927502,0.525814536
N000335,N007009,different,0.341538462,0.250688705,0.540277778
N002857,N005654,different,0.336382114,0.281885397,0.466396761
N000078,N007325,different,0.304216867,0.218328841,0.513586957
N000864,N005773,different,0.214700193,0.132560066,0.399505766
N007718,N008135,different,0.337209302,0.250546249,0.519990593
N006976,N010778,different,0.379909366,0.295931759,0.530384368
N002774,N011414,different,0.247020585,0.152133581,0.448360405
N004762,N010111,different,0.432306256,0.364016736,0.578184592
N003908,N003909,same,0.243614931,0.221223022,0.358500257
N000664,N000666,same,0.427184466,0.392333709,0.548587395
N004323,N009954,different,0.218140069,0.131868132,0.408649326
N010390,N011580,different,0.143167028,0.097249509,0.299480669
N004880,N004881,same,0.906756757,0.889428919,0.930858311
N000818,N006620,different,0.170588235,0.107487027,0.336822517
N001043,N002862,different,0.280748663,0.162536443,0.530016225
N000640,N011658,different,0.176548967,0.105509965,0.35909355
N008018,N008676,different,0.108486439,0.075441413,0.250058921
N002685,N002686,same,0.483227561,0.465546218,0.587473002
N000449,N010133,different,0.235763098,0.145400593,0.417592593
N004683,N007002,different,0.155862069,0.099633252,0.329744817
N010844,N011602,different,0.238146552,0.145251397,0.420929553
N002440,N002443,same,0.318032787,0.286356822,0.418585859
N001357,N003372,different,0.238222222,0.146747352,0.430848329
N010856,N010857,same,0.655681818,0.628964059,0.731269887
N005262,N005263,same,0.306666667,0.283536585,0.43010113
N000070,N004969,different,0.446441948,0.333757152,0.645418327
N003615,N009126,different,0.412006579,0.323319027,0.595473833
N003236,N006862,different,0.143133462,0.086100169,0.317026194
N001257,N005818,different,0.157048941,0.094811019,0.320058079
N001027,N005073,different,0.216942149,0.140303843,0.387627696
N002169,N011831,different,0.23991727,0.147656941,0.441048035
N002691,N005271,different,0.154950869,0.098773842,0.339091491
N005141,N007639,different,0.219361483,0.137931034,0.410863912
N000675,N005669,different,0.390786338,0.283571915,0.594675235
N005337,N011060,different,0.108499096,0.070774355,0.27791381
N001699,N004758,different,0.148273527,0.094554159,0.313453266
N007012,N009759,different,0.161632653,0.099066762,0.313761468
N004855,N004856,same,0.621595331,0.597356828,0.686578743
N010491,N010492,same,0.667281106,0.646666667,0.718125771
N003270,N006319,different,0.134814815,0.084329349,0.315334318
N003144,N011859,different,0.377208481,0.31328125,0.512242424
N000889,N000890,same,0.614379085,0.599489796,0.682390714
N001432,N001435,same,0.662898253,0.648320896,0.729268293
N008926,N010073,different,0.164658635,0.096470588,0.342734038
N006903,N010093,different,0.182316655,0.113458057,0.359076433
N000486,N000487,same,0.974,0.968164794,0.982407407
N006198,N007366,different,0.160685155,0.094405594,0.32223796
N004084,N004085,same,0.663244353,0.644736842,0.734091525
N007902,N007976,different,0.456909361,0.340050378,0.652968037
N002019,N002021,same,0.494773519,0.475922953,0.605690101
N008725,N008728,same,0.644628099,0.620833333,0.708761625
N001957,N001958,same,0.977586207,0.972929936,0.983816014
N005497,N008336,different,0.127272727,0.077133106,0.288082249
N009301,N009302,same,0.973333333,0.956790123,0.987381703
N008499,N008952,different,0.306967985,0.184458399,0.536698499
N002300,N003674,different,0.162123386,0.102171137,0.334221858
N009680,N011001,different,0.112828439,0.06918239,0.272531263
N005556,N006568,different,0.123188406,0.085249042,0.281540142
N003574,N007121,different,0.219984508,0.137139108,0.422673358
N004353,N004355,same,0.585239085,0.560606061,0.654530523
N004438,N004442,same,0.777429467,0.745350501,0.822908522
N004678,N004680,same,0.86352657,0.84537246,0.893474962
N000056,N009414,different,0.108910891,0.070741758,0.265594436
N005365,N009764,different,0.273873874,0.157933579,0.488092052
N002248,N003503,different,0.228710462,0.153182309,0.389453621
N010508,N010509,same,0.304521277,0.283950617,0.404070737
N001817,N007306,different,0.134943182,0.086185044,0.291775588
N003274,N007023,different,0.363196126,0.272984441,0.54117917
N005079,N005080,same,0.349189189,0.326197757,0.462240664
N000591,N011538,different,0.151310861,0.093457944,0.325809199
N009925,N010387,different,0.164094232,0.104062723,0.329880295
N001053,N002186,different,0.269058296,0.163432836,0.483827854
N008562,N009324,different,0.380327869,0.27864215,0.567385757
N000250,N003051,different,0.146099291,0.093493367,0.31899201
N001525,N001678,different,0.389029536,0.285923754,0.58791077
N008599,N008602,same,0.513739546,0.48401323,0.597037485
N003942,N010918,different,0.227873856,0.137630662,0.423293852
N002513,N007637,different,0.402938902,0.306764903,0.571460079
N009703,N009705,same,0.513981358,0.483990148,0.586862287
N004315,N009584,different,0.364191251,0.286231884,0.512587038
N010620,N010621,same,0.93598862,0.930857875,0.941537351
N008248,N008249,same,0.362658847,0.338406446,0.470147325
N005222,N005225,same,0.371850565,0.356796117,0.478372691
N002502,N002505,same,0.936619718,0.925736236,0.951313485
N006200,N006201,same,0.368164063,0.35361552,0.448508431
N000217,N002582,different,0.193778354,0.117349803,0.39005995
N001207,N004094,different,0.287833828,0.211229947,0.489448604
N005453,N010471,different,0.244087039,0.146613546,0.461559735
N001063,N005024,different,0.276965265,0.164624809,0.492769148
N000697,N005493,different,0.100755668,0.066306862,0.252844788
N003555,N009272,different,0.116086235,0.079305136,0.262962963
N005393,N007391,different,0.23326572,0.139219015,0.433126661
N006121,N009928,different,0.381746032,0.272727273,0.590425532
N004229,N006064,different,0.109623431,0.076452599,0.260579577
N003265,N010005,different,0.319277108,0.241192412,0.503749148
N007303,N007376,different,0.132569558,0.08277901,0.304094876
N005512,N007327,different,0.314136126,0.187096774,0.557547415
N009065,N011122,different,0.122159091,0.084494774,0.287493645
N001376,N001377,same,0.384313725,0.366636931,0.481075437
N000357,N000359,same,0.666293393,0.647785788,0.731678832
N008677,N011938,different,0.272727273,0.172444444,0.466431095
N002197,N002198,same,0.483146067,0.448315912,0.588161209
N001905,N005873,different,0.398402839,0.32725832,0.541533938
N007497,N007499,same,0.633901705,0.611721612,0.706022187
N007334,N007335,same,0.931884058,0.920844327,0.949927431
N002570,N005618,different,0.143055556,0.092097075,0.309566607
N001074,N002707,different,0.147058824,0.09030303,0.313506086
N003691,N004544,different,0.108919383,0.075098814,0.265291607
N003415,N008452,different,0.384868421,0.309025271,0.526671325
N011716,N011717,same,0.975903614,0.968446602,0.98557047
N001083,N011985,different,0.28177458,0.182281059,0.478595318
N011499,N011500,same,0.988851728,0.985416667,0.992550143
N004212,N009766,different,0.373484848,0.265765766,0.570664289
N002974,N006457,different,0.196763754,0.118141097,0.390346677
N003854,N003855,same,0.621247113,0.601272534,0.702518519
N005378,N005379,same,0.943139679,0.941111111,0.946730463
N011829,N011830,same,0.955974843,0.952488688,0.958224543
N005326,N006145,different,0.221556886,0.139514731,0.40498615
N006145,N006146,same,0.56888361,0.533479693,0.661742538
N002008,N003498,different,0.273772205,0.164035088,0.483129727
N010513,N010514,same,0.944609298,0.917795845,0.963961628
N000443,N006009,different,0.112931034,0.079905063,0.275662651
N000043,N000050,same,0.975,0.965393795,0.984078591
N008967,N008968,same,0.259452412,0.23255814,0.343193277
N002801,N002802,same,0.579001019,0.560704356,0.65093572
N000119,N009303,different,0.104166667,0.067835366,0.262661142
N002058,N002059,same,0.954148472,0.944219067,0.962341946
N001325,N009136,different,0.213270142,0.127420999,0.407224959
N003642,N009092,different,0.233918129,0.144723618,0.411143132
N004298,N004299,same,0.96884273,0.950911641,0.986685354
N007729,N007732,same,0.980701754,0.969305331,0.990752417
N007652,N008774,different,0.447927199,0.375680581,0.603680308
N000834,N001578,different,0.145027624,0.090298963,0.315393989
N002673,N009844,different,0.375478927,0.277684564,0.566763234
N003008,N009152,different,0.224775225,0.138370119,0.400338314
N001326,N001328,same,0.579374276,0.550802139,0.657832043
N009445,N009562,different,0.531422271,0.444664032,0.66733871
N005985,N009162,different,0.160288809,0.101403061,0.336572256
N004071,N004072,same,0.933115824,0.905263158,0.966055404
N000384,N002019,different,0.137444279,0.084385382,0.31454196
N003494,N003495,same,0.203108808,0.18173258,0.278525296
N005806,N011786,different,0.176121931,0.114498141,0.339554917
N011420,N011984,different,0.396721311,0.316881259,0.564455862
N006646,N009384,different,0.124548736,0.078577337,0.292839506
N002639,N002640,same,0.910958904,0.8840399,0.943858455
N006541,N009386,different,0.366525424,0.290170132,0.527509926
N006760,N008055,different,0.413793103,0.321571238,0.581746553
N001785,N004629,different,0.374311927,0.283426741,0.532932632
N000741,N000745,same,0.914021164,0.881871345,0.966032609
N008186,N009304,different,0.16838488,0.099454215,0.347194588
N001323,N006364,different,0.277286136,0.194736842,0.494276094
N003863,N010008,different,0.159509202,0.105657805,0.330493665
N000058,N000184,different,0.405286344,0.325545171,0.554875061
N000412,N004657,different,0.167701863,0.106617647,0.347353592
N000926,N003644,different,0.436643836,0.341829085,0.600767754
N004369,N008199,different,0.291705499,0.171802773,0.517109225
N003450,N006996,different,0.204020849,0.127943985,0.385292823
N004410,N006730,different,0.132142857,0.082480818,0.310927835
N006041,N011988,different,0.141608392,0.092783505,0.299855839
N004913,N010317,different,0.283001808,0.16991018,0.514263074
N007995,N007997,same,0.568854569,0.541371158,0.655775578
N001334,N006274,different,0.159453303,0.101832994,0.325561313
N004939,N011284,different,0.113029827,0.074647887,0.265337423
N005634,N006584,different,0.219895288,0.138433515,0.388321995
N003301,N003302,same,0.6,0.577350859,0.672215844
N002267,N010375,different,0.237483954,0.153933865,0.40855901
N003158,N007300,different,0.222717149,0.135463259,0.420755536
N002085,N007988,different,0.241745283,0.144308943,0.421766562
N001118,N001120,same,0.910519952,0.875802998,0.962184874
N000030,N006079,different,0.253363229,0.161383285,0.447515528
N005137,N009628,different,0.23956044,0.154142582,0.427272727
N004055,N008225,different,0.131147541,0.086294416,0.28379006
N001879,N004065,different,0.170462388,0.106356968,0.351087173
N000486,N011101,different,0.268841395,0.169230769,0.458673933
N007430,N010330,different,0.427636958,0.325123153,0.599022574
N006041,N009700,different,0.398816568,0.322269807,0.554344441
N000297,N003849,different,0.154191617,0.093226023,0.332768481
N003611,N007188,different,0.236756757,0.141013825,0.436931474
N009978,N009979,same,0.445841393,0.42366757,0.571574904
N001022,N001023,same,0.621788284,0.602251407,0.67435004
N001629,N005005,different,0.220014194,0.129305136,0.413618101
N002923,N007247,different,0.151230101,0.098265896,0.318822554
N003164,N009587,different,0.168290523,0.101314772,0.342125094
N006832,N010598,different,0.188852459,0.113142857,0.376905488
N006511,N006512,same,0.632160804,0.617967332,0.687615527
N002304,N009060,different,0.131818182,0.086021505,0.287353455
N002106,N006701,different,0.263513514,0.158407799,0.466356674
N006856,N006857,same,0.591811414,0.564665127,0.67645202
N003821,N009085,different,0.44820296,0.382938389,0.595457159
N004522,N009816,different,0.501687289,0.421890547,0.641180012
N008514,N008515,same,0.431544359,0.41490433,0.512132458
N008382,N009718,different,0.127906977,0.078207381,0.289273538
N005805,N011332,different,0.420059583,0.360861759,0.545115784
N004216,N004699,different,0.248888889,0.151886792,0.452994105
N001432,N008873,different,0.378029079,0.269415808,0.564395707
N002149,N003382,different,0.107246377,0.074912892,0.21299639
N004731,N009345,different,0.355119826,0.297808765,0.503763752
N002163,N002307,different,0.348837209,0.257326662,0.514723204
N002952,N008752,different,0.254347826,0.161985019,0.425501017
N000745,N005843,different,0.224572004,0.147058824,0.41493543
N005260,N011019,different,0.104201681,0.068807339,0.259363958
N002299,N009882,different,0.123318386,0.074596774,0.293672483
N002171,N005867,different,0.190909091,0.135399674,0.369863014
N005334,N007457,different,0.24287119,0.146218487,0.412271259
N005304,N005305,same,0.875156055,0.847268673,0.930270985
N005134,N005135,same,0.602649007,0.584694755,0.674680691
N000982,N005390,different,0.26023085,0.17027027,0.46000586
N002992,N009046,different,0.392982456,0.291793313,0.56185313
N000628,N000633,same,0.325465839,0.301385681,0.429505135
N000573,N006170,different,0.148825065,0.091477717,0.311641359
N010406,N010408,same,0.904867257,0.865979381,0.954183267
N002446,N002447,same,0.614785992,0.591179976,0.686507937
N000735,N001335,different,0.411549038,0.330906149,0.569374369
N008238,N011480,different,0.352490421,0.269854825,0.501020408
N000321,N000443,different,0.108388313,0.076990376,0.258105052
N007541,N007546,same,0.285570131,0.268089054,0.39044569
N002683,N007848,different,0.131296449,0.080029918,0.309758898
N009983,N009985,same,0.245143386,0.224094356,0.352430556
N007568,N007570,same,0.42087156,0.404232804,0.537792442
N005448,N005962,different,0.240654206,0.155085599,0.43943299
N004767,N004768,same,0.907630522,0.896616541,0.931734317
N007023,N007916,different,0.378486056,0.264367816,0.569290976
N000315,N000316,same,0.542528736,0.515279241,0.609763402
N001578,N002947,different,0.164914586,0.099078341,0.350850077
N009857,N010711,different,0.258566978,0.162811388,0.450200343
N002290,N003634,different,0.418045113,0.315147625,0.60355419
N011438,N011440,same,0.636474908,0.612866817,0.70529595
N010035,N011646,different,0.309815951,0.226158038,0.512658228
N001295,N001296,same,0.627994956,0.603044496,0.714694656
N005825,N010265,different,0.242454728,0.147186147,0.436580627
N002351,N005508,different,0.405555556,0.29036635,0.595874887
N011075,N011077,same,0.945500634,0.938132733,0.951108214
N011335,N011336,same,0.39089969,0.363723608,0.514975042
N000514,N011152,different,0.389660494,0.270642202,0.597544643
N010762,N010766,same,0.939839572,0.916464891,0.960596026
N001314,N003288,different,0.42405914,0.31015143,0.615741675
N001403,N001405,same,0.216037736,0.192573402,0.3264545
N010389,N010391,same,0.856942496,0.81495564,0.91807812
N001258,N001261,same,0.884514436,0.84032634,0.951317106
N003574,N011053,different,0.359925788,0.27376117,0.532556372
N001484,N005371,different,0.337288136,0.248905109,0.525866276
N005426,N005427,same,0.925925926,0.918402778,0.935081685
N008443,N010211,different,0.167103539,0.102416571,0.34421821
N005517,N011613,different,0.11038961,0.077253219,0.270448215
N005828,N010514,different,0.124542125,0.07636603,0.291335287
N011154,N011156,same,0.652946679,0.642917016,0.696577947
N002595,N003310,different,0.23500612,0.144050104,0.414666667
N008630,N011336,different,0.456016178,0.380650995,0.610572931
N004951,N008794,different,0.329716194,0.24691358,0.483511379
N000391,N004186,different,0.360745614,0.296921549,0.506179937
N000166,N008677,different,0.24695122,0.157528285,0.434398175
N009154,N011317,different,0.26993865,0.164359862,0.486766398
N002589,N009612,different,0.354736842,0.286806883,0.499036609
N008268,N009916,different,0.350533808,0.264150943,0.519273263
N002316,N002317,same,0.487836108,0.453364817,0.587874879
N006596,N011033,different,0.149842271,0.098011364,0.317003515
N010106,N010107,same,0.423286181,0.394605395,0.520833333
N008409,N008410,same,0.957219251,0.939393939,0.976345358
N001937,N007430,different,0.395910781,0.33195706,0.544613011
N000078,N006886,different,0.281524927,0.201058201,0.474375821
N010999,N011001,same,0.322170901,0.291932059,0.425375331
N001357,N010788,different,0.250922509,0.147859922,0.458791946
N000906,N011149,different,0.304736372,0.178021978,0.534640523
N003435,N009318,different,0.277520814,0.177205308,0.48212846
N002916,N004445,different,0.277777778,0.1953125,0.50310559
N003770,N011367,different,0.263157895,0.179190751,0.4417643
